영업상태명,지번주소,사업장명
영업/정상,서울특별시 도봉구 창동 454-1번지 1층 ,북새통
영업/정상,서울특별시 도봉구 창동 657-126번지 ,창신동매운
영업/정상,서울특별시 도봉구 창동 552-61번지 1층 ,모래섬
영업/정상,서울특별시 도봉구 창동 569-86번지 ,홍두깨손칼국수
영업/정상,서울특별시 도봉구 창동 593-9 가동2층 ,자매보리밥1
영업/정상,서울특별시 도봉구 창동 608-80 1층 ,고향집
영업/정상,서울특별시 도봉구 창동 750-2 창동리더스빌딩 109호,명가김밥
영업/정상,"서울특별시 도봉구 창동 333-2 한성빌딩 2층 2,3,4호",쌈촌창동역점
영업/정상,서울특별시 도봉구 창동 657-152 2층 ,존맛소곱창
영업/정상,서울특별시 도봉구 창동 562-3 1층 ,"솔,호프"
영업/정상,서울특별시 도봉구 창동 341번지 동진빌리지 상가101동 103호,남경
영업/정상,서울특별시 도봉구 창동 817 수산트리플아파트 상가동 1층 ,우설 삼겹집
영업/정상,서울특별시 도봉구 창동 134-2번지 1층 ,신의주찹쌀순대
영업/정상,서울특별시 도봉구 창동 134-36 외 6필지 우림빌딩 2층,금문(金門)중화요리
영업/정상,서울특별시 도봉구 창동 651-14 1층 ,이수김밥과분식
영업/정상,서울특별시 도봉구 창동 568-16 1층 ,치킨연가
영업/정상,서울특별시 도봉구 창동 582-50 1층 ,서울마님죽신창시장점
영업/정상,서울특별시 도봉구 창동 647-1번지 북한산현대홈시티 201동 101호,주우마이
영업/정상,서울특별시 도봉구 창동 537-1번지 1층 ,논두렁
영업/정상,서울특별시 도봉구 창동 581-71번지 지상1층 ,아토
영업/정상,서울특별시 도봉구 창동 254-20번지 외1필지 하이빌 1층 102호 ,창동 닭한마리
영업/정상,서울특별시 도봉구 창동 565-7 지상1층 ,길옆호프
영업/정상,서울특별시 도봉구 창동 657-138 지상1층 101호,어쭈구리
영업/정상,"서울특별시 도봉구 창동 74-5 외2필지, 지상1층 ",종로김밥
영업/정상,"서울특별시 도봉구 창동 5번지 다모아빌딩 102,103호 ",박순남의오시는족족
영업/정상,서울특별시 도봉구 창동 655-20번지 홍일빌딩 211호,락궁
영업/정상,서울특별시 도봉구 창동 487-1번지 지상1층 ,흥부네뒷고기
영업/정상,서울특별시 도봉구 창동 655-22 지상1층 ,맥반석조개구이
영업/정상,서울특별시 도봉구 창동 552-44 ,BHC치킨창2동점
영업/정상,서울특별시 도봉구 창동 333-2번지 한성빌딩 104호,스시황
영업/정상,서울특별시 도봉구 창동 655-10 지상1층 ,육미면가
영업/정상,서울특별시 도봉구 창동 442-20 ,매일푸드
영업/정상,서울특별시 도봉구 창동 547-59 지상1층,달빛아래술한잔
영업/정상,"서울특별시 도봉구 창동 749-16번지 한독패밀리타운, 지상1층 ",BHC치킨창동아이파크점
영업/정상,서울특별시 도봉구 창동 8-1 하나빌딩 지상2층 201호,차이나짬뽕
영업/정상,"서울특별시 도봉구 창동 254-20 하이빌. 지상1층, 101호 ",남원전통추어탕
영업/정상,"서울특별시 도봉구 창동 621-4번지 노블캐슬오피스텔, 지상1층 102호",원빈
영업/정상,서울특별시 도봉구 창동 75-4 지상1층 102호,창동수유리우동집
영업/정상,서울특별시 도봉구 창동 608-142,아치떡
영업/정상,서울특별시 도봉구 창동 258-11 상아빌라 1호,신전떡볶이
영업/정상,"서울특별시 도봉구 창동 826 한신휴플러스상가,102호,103호 104동 ",누구나홀딱반한닭
영업/정상,서울특별시 도봉구 창동 4번지 월드프라자 205호,맥주창고
영업/정상,서울특별시 도봉구 창동 4번지 월드프라자 1층5호 ,메가엠지씨커피 창동역점
영업/정상,서울특별시 도봉구 창동 655-22번지 지상1층 ,영산포홍어
영업/정상,서울특별시 도봉구 창동 650-47 지상1층,정성을 파는 가게
영업/정상,서울특별시 도봉구 창동 655-21번지 지상1층 안강프라자 102호 일부 ,날아온춘천닭갈비
영업/정상,서울특별시 도봉구 창동 650-47번지 지상1층 ,누나홀닭쌍문역점
영업/정상,서울특별시 도봉구 창동 553-3번지 지상1층 ,로망스
영업/정상,서울특별시 도봉구 창동 647-1번지 북한산현대홈시티 201동 111호,행복포차
영업/정상,서울특별시 도봉구 창동 813번지 현대아파트 상가동 지상2층 201호,카페오븐(cafe oven)
영업/정상,서울특별시 도봉구 창동 581-71번지 지상2층 ,낙지애가
영업/정상,서울특별시 도봉구 창동 578-174 지상1층 ,영동푸드
영업/정상,서울특별시 도봉구 창동 502-21 지상1층 ,리틀포레스트
